# UTC Date    TIME   JUL    SEC
# YY  MM  DD  TIME   Day    Day       P>1          P>5          P>10         P>30         P>50        P>100
#===============================================================================================================
2024  02  09  1115  60349  40500  3.32801e+00  2.42006e-01  2.33006e-01  1.78006e-01  1.70006e-01  1.67006e-01
2024  02  09  1120  60349  40800  3.73300e+00  2.92005e-01  2.35005e-01  1.64005e-01  1.60005e-01  1.55005e-01
2024  02  09  1125  60349  41100  3.48701e+00  3.06006e-01  2.44006e-01  1.86006e-01  1.81006e-01  1.80006e-01
2024  02  09  1130  60349  41400  3.33401e+00  3.19006e-01  2.75006e-01  1.86006e-01  1.85006e-01  1.79006e-01
2024  02  09  1135  60349  41700  2.80234e+00  2.79340e-01  2.64340e-01  2.16340e-01  2.11340e-01  2.08340e-01
2024  02  09  1140  60349  42000  3.51501e+00  2.53007e-01  2.44007e-01  2.29007e-01  2.28007e-01  2.27007e-01
2024  02  09  1145  60349  42300  3.35067e+00  3.76671e-01  2.36671e-01  1.65671e-01  1.61671e-01  1.61671e-01
2024  02  09  1150  60349  42600  2.96401e+00  2.72006e-01  2.42006e-01  2.08006e-01  2.00006e-01  1.96006e-01
2024  02  09  1155  60349  42900  3.84434e+00  4.03339e-01  3.24339e-01  1.95339e-01  1.94339e-01  1.80339e-01
2024  02  09  1200  60349  43200  3.83401e+00  2.55006e-01  2.15006e-01  1.95006e-01  1.94006e-01  1.89006e-01
2024  02  09  1205  60349  43500  3.95701e+00  2.34005e-01  2.01005e-01  1.92005e-01  1.71005e-01  1.62005e-01
2024  02  09  1210  60349  43800  3.48501e+00  2.79005e-01  2.57005e-01  1.77005e-01  1.70005e-01  1.69005e-01
2024  02  09  1215  60349  44100  3.53934e+00  2.77341e-01  2.42341e-01  2.24341e-01  2.21341e-01  2.14341e-01
2024  02  09  1220  60349  44400  3.76667e+00  2.23673e-01  2.14673e-01  1.99673e-01  1.95673e-01  1.88673e-01
2024  02  09  1225  60349  44700  3.00534e+00  2.71339e-01  2.46339e-01  2.04339e-01  2.01339e-01  1.98339e-01
2024  02  09  1230  60349  45000  3.30134e+00  3.84339e-01  2.85339e-01  2.14339e-01  2.10339e-01  2.02339e-01
2024  02  09  1235  60349  45300  3.49567e+00  3.62673e-01  2.00673e-01  1.79673e-01  1.78673e-01  1.73673e-01
2024  02  09  1240  60349  45600  2.98701e+00  3.86007e-01  2.88007e-01  2.17007e-01  2.06007e-01  1.99007e-01
2024  02  09  1245  60349  45900  2.79401e+00  3.19006e-01  2.20006e-01  1.73006e-01  1.72006e-01  1.67006e-01
2024  02  09  1250  60349  46200  2.68534e+00  2.34340e-01  2.23340e-01  2.14340e-01  2.11340e-01  2.08340e-01
2024  02  09  1255  60349  46500  3.34201e+00  4.26006e-01  2.70006e-01  1.87006e-01  1.83006e-01  1.76006e-01
2024  02  09  1300  60349  46800  3.12267e+00  2.84673e-01  2.73673e-01  2.13673e-01  2.07673e-01  2.06673e-01
2024  02  09  1305  60349  47100  4.23167e+00  5.24673e-01  3.55673e-01  2.18673e-01  2.07673e-01  2.00673e-01
